Name,Symbol,Region,Category,Subcategory,High Vol
Lindsay,LNN,US,Equities,US Industrials,FALSE
Hyster-Yale Materials Handling,HY,US,Equities,US Industrials,TRUE
Hudson,HDSN.O,US,Equities,US Industrials,TRUE
Graco,GGG,US,Equities,US Industrials,FALSE
Global Industrial Co,GIC,US,Equities,US Industrials,TRUE
Gibraltar Industries,ROCK.O,US,Equities,US Industrials,TRUE
General Dynamics,GD,US,Equities,US Defense,FALSE
Gencor,GENC.K,US,Equities,US Industrials,TRUE
Frontdoor,FTDR.O,US,Equities,US Industrials,TRUE
Franklin Electric,FELE.O,US,Equities,US Industrials,FALSE
Finning International,FTT.TO,US,Equities,US Industrials,TRUE
Exponent,EXPO.O,US,Equities,US Industrials,FALSE
Douglas Dynamics,PLOW.K,US,Equities,US Industrials,FALSE
Donaldson,DCI,US,Equities,US Industrials,FALSE
Deere&Company,DE,US,Equities,US Industrials,FALSE
Core Molding,CMT,US,Equities,US Industrials,FALSE
Caterpillar,CAT,US,Equities,US Industrials,FALSE
Cactus,WHD,US,Equities,US Industrials,FALSE
Bombardier Inc,BBDb.TO,US,Equities,US Industrials,FALSE
Blue Bird,BLBD.O,US,Equities,US Industrials,TRUE
Atkore Intl,ATKR.K,US,Equities,US Industrials,FALSE
Allison Transmission,ALSN.K,US,Equities,US Industrials,FALSE
Albany,AIN,US,Equities,US Industrials,FALSE
Alamo,ALG,US,Equities,US Industrials,FALSE
Aecom Technology,ACM,US,Equities,US Industrials,FALSE
Acuity Brands,AYI,US,Equities,US Industrials,FALSE
Alphabet C,GOOG.O,US,Equities,US Tech,FALSE
Health Care Select Sector SPDR,XLV,US,ETF,Healthcare,FALSE
iShares MSCI Brazil Capped,EWZ,Emerging Markets,ETF,ETF,FALSE
iShares Latin America 40,ILF,Emerging Markets,ETF,ETF,FALSE
Meta Platforms,META.O,US,Equities - Short,US Tech,FALSE
J&J,JNJ,US,Equities,Healthcare,FALSE
VanEck Vectors Gold Miners,GDX,Commodities,ETF,Commodity Producers,TRUE
iShares MSCI South Africa,EZA,Emerging Markets,ETF,ETF,FALSE
iShares MSCI Mexico Capped,EWW,Emerging Markets,ETF,ETF,FALSE
Vita Coco,COCO.O,US,Equities,US Consumer,FALSE
